standardlithology_id,mapunit,parttype,lithology,proportionterm,proportionvalue,scientificconfidence,datasourceid
GMA.StandardLithology.41,Qm,Not Assigned,Gravel (Gravelly sediment),Dominant,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.43,Qm,Not Assigned,Mud (muddy sediment),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.26,Qo,Not Assigned,Mud (muddy sediment),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.29,Qo,Not Assigned,Clastic sedimentary material,Dominant,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.28,Qo,Not Assigned,Sand (sandy sediment),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.27,Qo,Not Assigned,Gravel (Gravelly sediment),Present,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.122,QTs,Not Assigned,Sandstone (sandy rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.124,QTs,Not Assigned,Mudstone (mudrock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.123,QTs,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.50,Tvy,Not Assigned,Rhyolite lava,Present,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.48,Tvy,Not Assigned,Lava autobreccia,Minor,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.52,Tvy,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Minor,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.51,Tvy,Not Assigned,Pyroclastic breccia,Minor,0,Standard Confidence,GMA.DataSources.206
GMA.StandardLithology.53,Tvy,Not Assigned,Dacitic lava,Present,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.49,Tvy,Not Assigned,Andesitic lava,Present,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.92,Tsy,Not Assigned,Gypsum sediment,Not specified,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.93,Tsy,Not Assigned,Clastic sedimentary material,Dominant,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.91,Tsy,Not Assigned,Gravel (Gravelly sediment),Dominant,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.16,Tby,Not Assigned,Lava autobreccia,Minor,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.15,Tby,Not Assigned,Basaltic lava,Dominant,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.14,Tby,Not Assigned,Volcanic lithic sediment,Minor,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.146,Tb,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.144,Tb,Not Assigned,Basaltic lava,Dominant,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.145,Tb,Not Assigned,Lava autobreccia,Minor,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.175,Tsv,Not Assigned,Sandstone (sandy rock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.176,Tsv,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Present,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.174,Tsv,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.173,Tsv,Not Assigned,Fine grained or porphyritic crystalline rock,Dominant,0,Standard Confidence,GMA.DataSources.204
GMA.StandardLithology.38,Tsm,Not Assigned,Sandstone (sandy rock of SLTTs),Subordinate,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.37,Tsm,Not Assigned,Mudstone (mudrock of SLTTs),Minor,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.36,Tsm,Not Assigned,Gypsum rock,Not specified,0,Standard Confidence,GMA.DataSources.193
GMA.StandardLithology.40,Tsm,Not Assigned,Sedimentary breccia,Minor,0,Standard Confidence,GMA.DataSources.202
GMA.StandardLithology.39,Tsm,Not Assigned,Conglomerate (conglomeratic rock of SLTTs),Dominant,0,Standard Confidence,GMA.DataSources.201
GMA.StandardLithology.74,Tv,Not Assigned,Volcanic-lithic sedimentary rock (tuffite),Subordinate,0,Standard Confidence,GMA.DataSources.196
GMA.StandardLithology.76,Tv,Not Assigned,Generic tuff,Present,0,Standard Confidence,GMA.DataSources.206
